粘稠	→黏稠〔草案〕
粘糊	→黏糊〔草案〕
粘土	→黏土〔草案〕
粘性	→黏性〔草案〕
粘液	→黏液〔草案〕
暖呼呼	→暖乎乎〔草案〕
扒犁	→爬犁〔草案〕
判辞	→判词〔草案〕
皮簧	→皮黄〔草案〕
慓悍	→剽悍〔草案〕
飘渺	→缥缈〔草案〕
漂渺	→缥缈〔草案〕
飘眇	→缥缈〔草案〕
飘邈	→缥缈〔草案〕
凭白无故	→平白无故〔草案〕
匍伏	→匍匐〔草案〕
起程	→启程〔草案〕
启锚	→起锚〔草案〕
起迄	→起讫〔草案〕
气门心	→气门芯〔草案〕
牵就	→迁就〔草案〕
遣辞	→遣词〔草案〕
枪枝	→枪支〔草案〕
情份	→情分〔草案〕
屈伏	→屈服〔草案〕
取销	→取消〔草案〕
雀瘢	→雀斑〔草案〕
热剌剌	→热辣辣〔草案〕
如雷灌耳	→如雷贯耳〔草案〕
散逸	→散佚〔草案〕
沙锅	→砂锅〔草案〕
沙壶	→砂壶〔草案〕
沙浆	→砂浆〔草案〕
沙糖	→砂糖〔草案〕
杀风景	→煞风景〔草案〕
杀尾	→煞尾〔草案〕
刹时	→霎时〔草案〕
山颠	→山巅〔草案〕
扇风点火	→煽风点火〔草案〕
闪烁其辞	→闪烁其词〔草案〕
上方宝剑	→尚方宝剑〔草案〕
深醒	→深省〔草案〕
甚么	→什么〔草案〕
神甫	→神父〔草案〕
省分	→省份〔草案〕
拾遗补阙	→拾遗补缺〔草案〕
士女画	→仕女画〔草案〕
视阈	→视域〔草案〕
誓辞	→誓词〔草案〕
授与	→授予〔草案〕
摔交	→摔跤〔草案〕
水份	→水分〔草案〕
水长船高	→水涨船高〔草案〕
思辩	→思辨〔草案〕
死气白赖	→死乞白赖〔草案〕
宿愿	→夙愿〔草案〕
夙来	→素来〔草案〕
夙敌	→宿敌〔草案〕
夙儒	→宿儒〔草案〕
夙怨	→宿怨〔草案〕
梯己	→体己〔草案〕
题辞	→题词〔草案〕
俶傥	→倜傥〔草案〕
瞳人	→瞳仁〔草案〕
退色	→褪色〔草案〕
托咐	→托付〔草案〕
顽耍	→玩耍〔草案〕
玩皮	→顽皮〔草案〕
惟独	→唯独〔草案〕
惟恐	→唯恐〔草案〕
惟利是图	→唯利是图〔草案〕
